source_file,model,seed_title,seed_title_slug,idea_id,idea_id_slug,idea_title,overall_weighted_score,verdict,score_originality_novelty,score_relevance_alignment,score_feasibility_resources,score_testability_falsifiability,score_methodological_rigor,score_literature_grounding,score_potential_impact,score_clarity_specificity,score_safety_ethics_risk,biblio_novelty_seed,hybrid_max,hybrid_median,hybrid_min,joint_fraction_novel,novel_fraction_hybrid<0.25,novel_fraction_sbert<0.55,sbert_max,sbert_median,sbert_min,biblio_novelty_effective
Self-Consistency2203.11171v4_idea_ratings.json,deepseekv3,Self-Consistency Improves Chain-of-Thought Reasoning in Language Models,self-consistencyimproveschain-of-thoughtreasoninginlanguagemodels,dynamic_self_consistency,dynamicselfconsistency,Dynamic Self-Consistency: Leveraging Reasoning Paths for Efficient LLM Sampling,4.35,revise,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,,,,,,,,,,,
Self-Consistency2203.11171v4_idea_ratings.json,deepseekv3,Self-Consistency Improves Chain-of-Thought Reasoning in Language Models,self-consistencyimproveschain-of-thoughtreasoninginlanguagemodels,self_consistency_for_fewshot_prompting,selfconsistencyforfewshotprompting,Enhancing Few-Shot Learning with Self-Consistency in Chain-of-Thought Prompting,4.45,accept,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,,,,,,
Self-Consistency2203.11171v4_idea_ratings.json,deepseekv3,Self-Consistency Improves Chain-of-Thought Reasoning in Language Models,self-consistencyimproveschain-of-thoughtreasoninginlanguagemodels,dynamic_self-consistency,dynamicself-consistency,Dynamic Self-Consistency for Efficient and Robust Chain-of-Thought Reasoning,4.4,revise,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,,,,,,
Self-Consistency2203.11171v4_idea_ratings.json,deepseekv3,Self-Consistency Improves Chain-of-Thought Reasoning in Language Models,self-consistencyimproveschain-of-thoughtreasoninginlanguagemodels,dynamic_self-consistency_reasoning,dynamicself-consistencyreasoning,Dynamic Self-Consistency: Leveraging Reasoning Paths for Efficient LLM Sampling,4.25,revise,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,,,,,,
Self-Consistency2203.11171v4_idea_ratings.json,deepseekv3,Self-Consistency Improves Chain-of-Thought Reasoning in Language Models,self-consistencyimproveschain-of-thoughtreasoninginlanguagemodels,dynamic_self-consistency,dynamicself-consistency,Dynamic Self-Consistency for Efficient and Robust Chain-of-Thought Reasoning,4.4,revise,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,,,,,,
Decision Transformer2106.01345v2_idea_ratings.json,deepseekv3,Decision Transformer: Reinforcement Learning via Sequence Modeling,decisiontransformerreinforcementlearningviasequencemodeling,efficient_sequence_rl,efficientsequencerl,Efficient Sequence Modeling for Long-Horizon Reinforcement Learning with Mamba Hybrids,3.95,revise,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0.392433862193185,0.6444276732156002,0.6075661378068149,0.5818454793199311,0.0,0.0,0.24000000000000005,0.6897014617919922,0.6272085428237915,0.5180584073066712,0.392433862193185
Decision Transformer2106.01345v2_idea_ratings.json,deepseekv3,Decision Transformer: Reinforcement Learning via Sequence Modeling,decisiontransformerreinforcementlearningviasequencemodeling,robust_sequence_rl,robustsequencerl,Robust Sequence Modeling for Reinforcement Learning in Noisy Environments,3.6,revise,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.392433862193185,0.6444276732156002,0.6075661378068149,0.5818454793199311,0.0,0.0,0.24000000000000005,0.6897014617919922,0.6272085428237915,0.5180584073066712,0.392433862193185
Decision Transformer2106.01345v2_idea_ratings.json,deepseekv3,Decision Transformer: Reinforcement Learning via Sequence Modeling,decisiontransformerreinforcementlearningviasequencemodeling,mamba_decision_maker,mambadecisionmaker,Mamba Decision Maker: Multi-scale Sequence Modeling for Offline Reinforcement Learning,4.5,accept,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.392433862193185,0.6444276732156002,0.6075661378068149,0.5818454793199311,0.0,0.0,0.24000000000000005,0.6897014617919922,0.6272085428237915,0.5180584073066712,0.392433862193185
Decision Transformer2106.01345v2_idea_ratings.json,deepseekv3,Decision Transformer: Reinforcement Learning via Sequence Modeling,decisiontransformerreinforcementlearningviasequencemodeling,efficient_sequence_rl_02,efficientsequencerl02,Efficient Sequence Modeling for Long-Horizon Reinforcement Learning with Mamba Hybrids,3.95,revise,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0.392433862193185,0.6444276732156002,0.6075661378068149,0.5818454793199311,0.0,0.0,0.24000000000000005,0.6897014617919922,0.6272085428237915,0.5180584073066712,0.392433862193185
Decision Transformer2106.01345v2_idea_ratings.json,deepseekv3,Decision Transformer: Reinforcement Learning via Sequence Modeling,decisiontransformerreinforcementlearningviasequencemodeling,robust_decision_transformer,robustdecisiontransformer,Robust Decision Transformer for Offline Reinforcement Learning with Data Corruption,4.0,revise,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,0.392433862193185,0.6444276732156002,0.6075661378068149,0.5818454793199311,0.0,0.0,0.24000000000000005,0.6897014617919922,0.6272085428237915,0.5180584073066712,0.392433862193185
