seed_label                    , seed_id         , seed_title                                                                                ,model   , log_file                                                               , query_hint                                                                                                          , n_hits, hybrid_median      , hybrid_min         , hybrid_max         , novel_fraction_hybrid<0.25, n_sbert, sbert_median        , sbert_min           , sbert_max           , novel_fraction_sbert<0.55, joint_fraction_novel
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  ,llama3.1, 20250919_105227_multi-agent_conversation_systems_for_LLM_applicati.json, multi-agent conversation systems for LLM applications                                                               ,      5, 0.7693847072385287 , 0.7494141004615409 , 0.7919228211541012 ,                        0.0,       4, 0.6164008975028992  , 0.41980433464050293 , 0.640029788017273   ,        0.5               ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  ,llama3.1, 20250919_105433_multi-agent_systems_conversation_programming_tool_.json, multi-agent systems + conversation programming + tool use + RAG + evaluation                                        ,      5, 0.7566313796195475 , 0.6599701715839635 , 0.803145237218174  ,                        0.0,       5, 0.5150240659713745  , 0.30068936944007874 , 0.6037754416465759  ,        0.6               ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  ,llama3.1, 20250919_105655_meta-learning_for_multi-agent_conversation_systems.json, meta-learning for multi-agent conversation systems                                                                  ,      5, 0.7566763887884437 , 0.6457356707663598 , 0.7568754269763687 ,                        0.0,       3, 0.23655113577842712 , 0.20830796658992767 , 0.3419491946697235  ,        1.0               ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  ,llama3.1, 20250919_105912_multi-agent_conversation_systems_for_human-in-the-.json, multi-agent conversation systems for human-in-the-loop decision making                                              ,      1, 0.7566313796195475 , 0.7566313796195475 , 0.7566313796195475 ,                        0.0,       1, 0.0                 , 0.0                 , 0.0                 ,        1.0               ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  ,llama3.1, 20250919_105942_multi-agent_conversation_systems_for_human-in-the-.json, multi-agent conversation systems for human-in-the-loop decision making                                              ,      1, 0.7566313796195475 , 0.7566313796195475 , 0.7566313796195475 ,                        0.0,       1, 0.0                 , 0.0                 , 0.0                 ,        1.0               ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  ,llama3.1, 20250919_105953_human-in-the-loop_decision_making_with_conversatio.json, human-in-the-loop decision making with conversational agents and large language models                              ,      1, 0.7566313796195475 , 0.7566313796195475 , 0.7566313796195475 ,                        0.0,       1, 0.0                 , 0.0                 , 0.0                 ,        1.0               ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        ,llama3.1, 20250919_110236_generative_modeling_one-step_sampling_probability_.json, generative modeling one-step sampling probability flow ODE zero-shot editing                                        ,      5, 0.6693394888847358 , 0.6304978279447264 , 0.7060197291163364 ,                        0.0,       5, 0.6467534303665161  , 0.51463782787323    , 0.719207227230072   ,        0.4               ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        ,llama3.1, 20250919_110516_generative_modeling_with_dynamic_consistency_const.json, generative modeling with dynamic consistency constraints                                                            ,      5, 0.6517377077891771 , 0.6252255959564232 , 0.7210920758412511 ,                        0.0,       5, 0.557619035243988   , 0.4449652433395386  , 0.6128786206245422  ,        0.4               ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        ,llama3.1, 20250919_110726_generative_modeling_with_dynamic_constraints_and_t.json, generative modeling with dynamic constraints and temporal consistency                                               ,      5, 0.6306704786445435 , 0.5984650791482738 , 0.7096852436247322 ,                        0.0,       4, 0.5751174688339233  , 0.2917560935020447  , 0.7522686719894409  ,        0.5               ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        ,llama3.1, 20250919_110944_generative_modeling_with_probabilistic_circuits_an.json, generative modeling with probabilistic circuits and neural ordinary differential equations                          ,      1, 0.6305408701514443 , 0.6305408701514443 , 0.6305408701514443 ,                        0.0,       1, 0.0                 , 0.0                 , 0.0                 ,        1.0               ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        ,llama3.1, 20250919_111125_generative_models_with_dynamic_constraints_and_pro.json, generative models with dynamic constraints and probabilistic circuits                                               ,      4, 0.6248788454425199 , 0.5419596236934819 , 0.6305083332439628 ,                        0.0,       0, 0.0                 , 0.0                 , 0.0                 ,        1.0               ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        ,llama3.1, 20250919_111139_generative_models_with_dynamic_constraints_and_pro.json, generative models with dynamic constraints and probabilistic circuits for image generation                          ,      2, 0.5419596236934819 , 0.5419596236934819 , 0.5419596236934819 ,                        0.0,       0, 0.0                 , 0.0                 , 0.0                 ,        1.0               ,                  0.0
Decision Transformer2106.01345, arXiv:2106.01345, Decision Transformer: Reinforcement Learning via Sequence Modeling                        ,llama3.1, 20250919_111430_reinforcement_learning_via_sequence_modeling_for_m.json, reinforcement learning via sequence modeling for multi-agent systems                                                ,      5, 0.5827344099399431 , 0.5604688144477035 , 0.6383644695708104 ,                        0.0,       5, 0.4690776467323303  , 0.42123615741729736 , 0.49960702657699585 ,        1.0               ,                  0.0
Decision Transformer2106.01345, arXiv:2106.01345, Decision Transformer: Reinforcement Learning via Sequence Modeling                        ,llama3.1, 20250919_111655_reinforcement_learning_via_sequence_modeling_for_m.json, reinforcement learning via sequence modeling for multi-agent systems                                                ,      5, 0.5827344099399431 , 0.5604688144477035 , 0.6383644695708104 ,                        0.0,       5, 0.4690776467323303  , 0.42123615741729736 , 0.49960702657699585 ,        1.0               ,                  0.0
