AutoGen2308.08155seed_label,seed_id,seed_title,model,log_file,query_hint,n_hits,hybrid_median,hybrid_min,hybrid_max,novel_fraction_hybrid<0.25,n_sbert,sbert_median,sbert_min,sbert_max,novel_fraction_sbert<0.55,joint_fraction_novel
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,deepseekv2,20251002_091345_Leveraging_Ensemble_Learning_Techniques_for_Enhanc.json,Leveraging Ensemble Learning Techniques for Enhanced Multi-Agent System Performance in AutoGen Applications,1,0.7557179311884419,0.7557179311884419,0.7557179311884419,0.0,1,0.0,0.0,0.0,1.0,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,deepseekv2,20251002_091436_Harmonizing_Multi-Agent_Conversations_with_AutoGen.json,Harmonizing Multi-Agent Conversations with AutoGen through Automated Synthesis and Conversation Flow Optimization,1,0.7557179311884419,0.7557179311884419,0.7557179311884419,0.0,1,0.0,0.0,0.0,1.0,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,deepseekv2,20251002_091529_Incorporating_Cognitive_Network_Dynamics_into_Auto.json,Incorporating Cognitive Network Dynamics into AutoGen for Enhanced Multi-Agent Collaborative Problem Solving,1,0.7557179311884419,0.7557179311884419,0.7557179311884419,0.0,1,0.0,0.0,0.0,1.0,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,deepseekv2,20251002_091626_Harnessing_Cognitive_Fusion_for_Advanced_Multi-Age.json,Harnessing Cognitive Fusion for Advanced Multi-Agent Collaboration in AutoGen Applications,1,0.7557179311884419,0.7557179311884419,0.7557179311884419,0.0,1,0.0,0.0,0.0,1.0,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,deepseekv2,20251002_091723_Fostering_Symbiotic_Learning_in_AutoGen_through_In.json,Fostering Symbiotic Learning in AutoGen through Inter-agent Knowledge Exchange and Coevolutionary Optimization,1,0.7557179311884419,0.7557179311884419,0.7557179311884419,0.0,1,0.0,0.0,0.0,1.0,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,deepseekv2,20251002_113104_Unifying_Multi-Modal_Consistency_for_Efficient_Cro.json,Unifying Multi-Modal Consistency for Efficient Cross-Domain Generative Modeling,5,0.629554786531744,0.6288259175812329,0.6881255374890185,0.0,3,0.382326602935791,0.35487937927246094,0.42991358041763306,1.0,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,deepseekv2,20251002_113208_Multiscale_Consistency_for_Scalable_and_Adaptive_G.json,Multiscale Consistency for Scalable and Adaptive Generative Modeling,1,0.629554786531744,0.629554786531744,0.629554786531744,0.0,1,0.0,0.0,0.0,1.0,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,deepseekv2,20251002_113310_Harmonizing_Generative_Models_with_Optimal_Transpo.json,Harmonizing Generative Models with Optimal Transport for Enhanced Consistency and Style Control,1,0.629554786531744,0.629554786531744,0.629554786531744,0.0,1,0.0,0.0,0.0,1.0,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,deepseekv2,20251002_113403_Bridging_Modalities_with_Cross-Consistency_Fusion_.json,"Bridging Modalities with Cross-Consistency Fusion for Real-Time, Multimodal Synthesis",2,0.6929348075707322,0.6149124574302406,0.6929348075707322,0.0,1,0.6202666759490967,0.6202666759490967,0.6202666759490967,0.0,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,deepseekv2,20251002_113518_Synchronized_Generative_Synthesis_for_Real-Time_Mu.json,Synchronized Generative Synthesis for Real-Time Multimodal Interaction,5,0.6287072812172839,0.5856879383989804,0.6296234431180666,0.0,3,0.0790780559182167,0.0,0.3330153822898865,1.0,0.0
